,User Requirement,Naive estimate,Dijkstra estimate,A* estimate,BOCS estimate,Naive success,Dijkstra success,A* success,BOCS success,Constraint List,Naive control List,Dijkstra control list,A star control list,BOCS control list,ConstraintNodesGroup,Naive path,Dijkstra path,A* path,BOCS path,Naive path length,Dijkstra path length,A* path length,BOCS path length,Naive runtime,Dijkstra runtime,A* runtime,BOCS runtime
lrb1|benchmark1_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,"[[1, 'v4'], [2, 'v1', 'v9']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v4', 'c6', 'v7'], ['v1', 'c1'], ['v9', 'c7', 'v10', 'v13']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,2.64644622802734E-05,4.12464141845703E-05,0.000125169754028,0.000990629196167
lrb1|benchmark2_1,"['f1', 'f4']",1,1,1,1,1,1,1,1,"[[1, 'v7'], [1, 'v12'], [2, 'v6', 'v8'], [2, 'v10', 'v11']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","[['v7', 'c6', 'v4'], ['v12', 'c10'], ['v6', 'c4', 'v8'], ['v10', 'c7', 'v9', 'v13'], ['v11', 'c9']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",12,12,12,12,2.31266021728516E-05,3.64780426025391E-05,0.000107049942017,0.00096321105957
lrb1|benchmark3_1,"['f1', 'f4']",1,1,1,0,0,0,0,2,"[[1, 'v9'], [2, 'v7', 'v4'], [1, 'v5'], [1, 'v2']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],"[['v9', 'c7', 'v10', 'v13'], ['v7', 'c6', 'v4'], ['v5', 'c5'], ['v2', 'c2']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],12,12,12,-1,2.45571136474609E-05,3.64780426025391E-05,0.000109434127808,0.000247478485107
lrb1|benchmark4_1,"['f1', 'f4']",1,1,1,1,0,0,0,1,"[[1, 'v4'], [2, 'v2', 'v1'], [2, 'v3', 'v7']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v5', 'v6', 'c1', 'c4', 'c5']","[['v4', 'c6', 'v7'], ['v2', 'c2'], ['v1', 'c1'], ['v3', 'c3']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo6', 'fo7', 'fo12', 'fo16', 'f4']",12,12,12,14,2.36034393310547E-05,3.74317169189453E-05,0.000108957290649,0.003034830093384
lrb1|benchmark5_1,"['f1', 'f4']",1,1,1,0,0,0,0,2,"[[1, 'v1'], [2, 'v13', 'v9'], [1, 'v4']]","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']","['v1', 'v2', 'v3', 'c1', 'c2', 'c3']",[],"[['v1', 'c1'], ['v13', 'c7', 'v9', 'v10'], ['v4', 'c6', 'v7']]","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']","['f1', 'fo1', 'fo5', 'fo10', 'fo15', 'fo16', 'f4']",[],12,12,12,-1,2.38418579101562E-05,3.64780426025391E-05,0.000107526779175,0.000207662582397
,,,,,,,,,,,,,,,,,,,,,,,,,,,
flase positive,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,
true positive,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,
true negative,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
false negative,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
MAXTIME,0.00303483,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDtime,0.00096321,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageTime,0.00077843,,,,,,,,,,,,,,,,,,,,,,,,,,
